Title,Value
ID,T1543.003
Sub-technique of, T1543
Tactics,"Persistence, Privilege Escalation"
Platforms,Windows
Effective Permissions,"Administrator, SYSTEM"
Contributors,"Akshat Pradhan, Qualys; Matthew Demaske, Adaptforward; Mayuresh Dani, Qualys; Pedro Harrison; Wietze Beukema, @wietze"
Version,1.3
Created,17 January 2020
Last Modified,21 April 2023
