Title,Value
ID,T1547.008
Sub-technique of, T1547
Tactics,"Persistence, Privilege Escalation"
Platforms,Windows
Permissions Required,"Administrator, SYSTEM"
Contributors,Vincent Le Toux
Version,1.0
Created,24 January 2020
Last Modified,20 April 2022
