Title,Value
ID,T1218.005
Sub-technique of, T1218
Tactic,Defense Evasion
Platforms,Windows
Permissions Required,User
Defense Bypassed,"Application control, Digital Certificate Validation"
Contributors,"@ionstorm; Ricardo Dias; Ye Yint Min Thu Htut, Offensive Security Team, DBS Bank"
Version,2.0
Created,23 January 2020
Last Modified,11 March 2022
