Title,Value
ID,T1543.004
Sub-technique of, T1543
Tactics,"Persistence, Privilege Escalation"
Platforms,macOS
Permissions Required,Administrator
Effective Permissions,"Administrator, root"
Version,1.2
Created,17 January 2020
Last Modified,30 March 2023
