Title,Value
ID,T1569.002
Sub-technique of, T1569
Tactic,Execution
Platforms,Windows
Permissions Required,"Administrator, SYSTEM"
Supports Remote, Yes
Version,1.1
Created,10 March 2020
Last Modified,30 August 2021
