Title,Value
ID,T1574.002
Sub-technique of, T1574
Tactics,"Persistence, Privilege Escalation, Defense Evasion"
Platforms,Windows
Defense Bypassed,"Anti-virus, Application Control"
Version,2.0
Created,13 March 2020
Last Modified,30 March 2023
