Title,Value
ID,T1059.001
Sub-technique of, T1059
Tactic,Execution
Platforms,Windows
Supports Remote, Yes
Contributors,"Mayuresh Dani, Qualys; Praetorian; Ross Brittain"
Version,1.3
Created,09 March 2020
Last Modified,27 March 2023
