Title,Value
ID,T1036.005
Sub-technique of, T1036
Tactic,Defense Evasion
Platforms,"Containers, Linux, Windows, macOS"
Defense Bypassed,Application Control
Contributors,"Vishwas Manral, McAfee; Yossi Weizman, Azure Defender Research Team"
Version,1.1
Created,10 February 2020
Last Modified,30 March 2023
