Title,Value
ID,T1547.001
Sub-technique of, T1547
Tactics,"Persistence, Privilege Escalation"
Platforms,Windows
Permissions Required,"Administrator, User"
Contributors,"Dray Agha, @Purp1eW0lf, Huntress Labs; Oddvar Moe, @oddvarmoe"
Version,1.2
Created,23 January 2020
Last Modified,30 March 2023
