Title,Value
ID,T1546.001
Sub-technique of, T1546
Tactics,"Privilege Escalation, Persistence"
Platforms,Windows
Permissions Required,"Administrator, SYSTEM, User"
Contributors,"Stefan Kanthak; Travis Smith, Tripwire"
Version,1.0
Created,24 January 2020
Last Modified,30 March 2023
