MD5,Tactic_ID,Mitre_ID,Tactic,Hash,DATE
77b50bb476a85a7aa30c962a389838aa,TA0005,T1497,Discovery,3c809a10106990ba93ec0ed3b63ec8558414c6680f6187066b1aacd4d8c58210,2018-06-14
77b50bb476a85a7aa30c962a389838aa,TA0005,T1027,Defense Evasion,3c809a10106990ba93ec0ed3b63ec8558414c6680f6187066b1aacd4d8c58210,2018-06-14
77b50bb476a85a7aa30c962a389838aa,TA0009,T1005,Collection,3c809a10106990ba93ec0ed3b63ec8558414c6680f6187066b1aacd4d8c58210,2018-06-14
77b50bb476a85a7aa30c962a389838aa,TA0002,T1129,Execution,3c809a10106990ba93ec0ed3b63ec8558414c6680f6187066b1aacd4d8c58210,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0007,T1497.001,Discovery,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0007,T1082,Discovery,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0007,T1518,Discovery,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0007,T1057,Discovery,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0005,T1218.011,Defense Evasion,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0005,T1497.001,Discovery,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0005,T1055,Defense Evasion,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0004,T1055,Defense Evasion,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
ca67f84d5a4ac1459934128442c53b03,TA0002,T1129,Execution,40ef57ca2a617f5d24ac624339ba2027b6cf301c28684bf8b2075fc7a2e95116,2018-06-14
3229a6cea658b1b3ca5ca9ad7b40d8d4,TA0003,T1546.001,Privilege Escalation,4bd7d801d7ce3fe9c2928dbc834b296e934473f5bbcc9a1fd18af5ebd43192cd,2018-06-14
3229a6cea658b1b3ca5ca9ad7b40d8d4,TA0002,T1129,Execution,4bd7d801d7ce3fe9c2928dbc834b296e934473f5bbcc9a1fd18af5ebd43192cd,2018-06-14
3229a6cea658b1b3ca5ca9ad7b40d8d4,TA0009,T1005,Collection,4bd7d801d7ce3fe9c2928dbc834b296e934473f5bbcc9a1fd18af5ebd43192cd,2018-06-14
3229a6cea658b1b3ca5ca9ad7b40d8d4,TA0007,T1124,Discovery,4bd7d801d7ce3fe9c2928dbc834b296e934473f5bbcc9a1fd18af5ebd43192cd,2018-06-14
3229a6cea658b1b3ca5ca9ad7b40d8d4,TA0007,T1614.001,Discovery,4bd7d801d7ce3fe9c2928dbc834b296e934473f5bbcc9a1fd18af5ebd43192cd,2018-06-14
3229a6cea658b1b3ca5ca9ad7b40d8d4,TA0007,T1016,Discovery,4bd7d801d7ce3fe9c2928dbc834b296e934473f5bbcc9a1fd18af5ebd43192cd,2018-06-14
3229a6cea658b1b3ca5ca9ad7b40d8d4,TA0004,T1546.001,Privilege Escalation,4bd7d801d7ce3fe9c2928dbc834b296e934473f5bbcc9a1fd18af5ebd43192cd,2018-06-14
6ab301fc3296e1ceb140bf5d294894c5,TA0002,T1129,Execution,546dbd370a40c8e46f9b599a414f25000eec5ae6b3e046a035fe6e6cd5d874e1,2018-06-14
6ab301fc3296e1ceb140bf5d294894c5,TA0009,T1005,Collection,546dbd370a40c8e46f9b599a414f25000eec5ae6b3e046a035fe6e6cd5d874e1,2018-06-14
6ab301fc3296e1ceb140bf5d294894c5,TA0007,T1124,Discovery,546dbd370a40c8e46f9b599a414f25000eec5ae6b3e046a035fe6e6cd5d874e1,2018-06-14
6ab301fc3296e1ceb140bf5d294894c5,TA0007,T1016,Discovery,546dbd370a40c8e46f9b599a414f25000eec5ae6b3e046a035fe6e6cd5d874e1,2018-06-14
6ab301fc3296e1ceb140bf5d294894c5,TA0005,T1036.005,Defense Evasion,546dbd370a40c8e46f9b599a414f25000eec5ae6b3e046a035fe6e6cd5d874e1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0003,T1543.003,Privilege Escalation,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0002,T1569.002,Execution,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0007,T1497.001,Discovery,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0007,T1082,Discovery,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0007,T1518,Discovery,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0007,T1057,Discovery,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0005,T1497.001,Discovery,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0005,T1036.005,Defense Evasion,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
10b28da8eefac62ce282154f273b3e34,TA0004,T1543.003,Privilege Escalation,675a35e04b19aab314bcbc4b1f2610e3dea4a80c277cc5188f1d1391a00dfdb1,2018-06-14
bfb41bc0c3856aa0a81a5256b7b8da51,TA0007,T1082,Discovery,c9e3b83d77ce93cc1d70b22e967f049b13515c88572aa78e0a838103e5478777,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0003,T1543.003,Privilege Escalation,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0007,T1497.001,Discovery,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0007,T1057,Discovery,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0007,T1518,Discovery,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0007,T1082,Discovery,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0005,T1036,Defense Evasion,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0005,T1497.001,Discovery,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0005,T1055,Defense Evasion,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0005,T1036.005,Defense Evasion,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0004,T1543.003,Privilege Escalation,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0004,T1055,Defense Evasion,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
bf474b8acd55380b1169bb949d60e9e4,TA0002,T1569.002,Execution,d1d490866d4a4d29306f0d9300bffc1450c41bb8fd62371d29672bf9f747bf92,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0007,T1497.001,Discovery,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0007,T1057,Discovery,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0007,T1083,Discovery,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0007,T1082,Discovery,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0007,T1518,Discovery,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0005,T1497.001,Discovery,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0005,T1055,Defense Evasion,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0005,T1027.005,Defense Evasion,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0005,T1027,Defense Evasion,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0005,T1218.011,Defense Evasion,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0004,T1055,Defense Evasion,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
60294c426865b38fde7c5031afc4e453,TA0002,T1129,Execution,e69d6c2d3e9c4beebee7f3a4a3892e5fdc601beda7c3ec735f0dfba2b29418a7,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0007,T1518.001,Discovery,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0007,T1083,Discovery,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0007,T1497,Discovery,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0007,T1082,Discovery,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0005,T1218.011,Defense Evasion,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
00b0cfb59b088b247c97c8fed383c115,TA0005,T1027.005,Defense Evasion,089e49de61701004a5eff6de65476ed9c7632b6020c2c0f38bb5761bca897359,2018-06-14
